Eth.alt,Dhook,AE,Eth,ae,OE,oe,club,copyright,diamond,heart,registered,spade,trademark,dcroat,Hbar
hbar,ae.sc,eth.sc,oe.sc,florin.sc,hbar.sc,naira,peseta,rupee,won,sheqel,lari,uni2117,uni2120,arrowleft,arrowright
arrowboth,northWestArrow,northEastArrow,southEastArrow,southWestArrow,emptyset,filledbox,whiteSquare,triagup,upWhiteTriangle,rightBlackTriangle,rightWhiteTriangle,leftBlackTriangle,leftWhiteTriangle,blackDiamond,whiteDiamond
circle,blackCircle,uni23E9,uni23EA,uni23F8,uni23CF,Bhook,,dhook,Nhookleft,nhookleft,Yhook,yhook,bhook.sc,dhook.sc,nhookleft.sc
yhook.sc,Hadescender-cy,hadescender-cy,Dje-cy,Lje-cy,Nje-cy,Tshe-cy,De-cy,Shcha-cy,Hardsign-cy,Yeru-cy,Yu-cy,shcha-cy,hardsign-cy,yeru-cy,yu-cy
uni24B9,dje-cy,lje-cy,nje-cy,uni0462,,uni0474,uni0475,Gestroke-cy,gestroke-cy,Zhedescender-cy,zhedescender-cy,Kadescender-cy,dje-cy.sc,tshe-cy.sc,
uni2105,To-ar,to-ar,eternityright,eternityleft,to-ar.sc,uni10A5,uni10A7,uni10AA,uni10AD,uni10B0,uni10B3,uni10BB,uni10C0,Gbar,gbar
Lbelt,lbelt.sc,Florin,shcha-cy.loclBGR,yu-cy.loclBGR,Kastroke-cy,Kabashkir-cy,EnGe-cy,enge-cy,uni04A6,uni04A7,Tetse-cy,tetse-cy,Cheabkhasian-cy,cheabkasian-cy,Chedescenderabkasian-cy
chedescenderabkasian-cy,Iishorttail-cy,iishorttail-cy,Eltail-cy,eltail-cy,Entail-cy,entail-cy,Emtail-cy,emtail-cy,Hahook-cy,hahook-cy,Elhook-cy,elhook-cy,Eldescender-cy,eldescender-cy,kastroke-cy.sc
uni03DA,uni03FC,uni03DB.sc,u10478,u10479,u1047A,u1047B,u1047C,u1047D,u1047E,u1047F,Ohorn,ohorn,Uhorn,uhorn,uhorn.sc
onethird,twothirds,oneeighth,fiveeighths,seveneighths,numero,perthousand,napostrophe,f_f,f_f_i,f_f_l,men_now-ar,men_ech-ar,men_ini-ar,men_xeh-ar,vew_now-ar
